name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Marston Waters,"Ser Marston Waters is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it starts. Ser Marston Waters was a knight and sworn brother of the Kingsguard.",Ser Marston Waters was a bastard from the Crownlands. Eventually he became a knight and during the Dance of the Dragons he joined the Kingsguard of King Aegon II Targaryen. He was present when Rhaenyra Targaryen was captured and fed to the dragon Sunfyre.,"",4,"Ser, Hand of the King",Deceased,"","","Kingsguard, Aegon II Targaryen","","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/8/80/AegonIIKingsguard.jpg/revision/latest?cb=20150304161305,Marston Waters,"","","","","","","","","","","","","","",""
Copper King,"The Copper King is an unnamed and unidentified recurring background character in the second season. He is played by an unknown actor and debuts in ""Garden of Bones."" He is killed by the magic of Pyat Pree when Xaro Xhoan Daxos proclaims himself King of Qarth.","He is a member of the Thirteen, the rulers of Qarth.","",2,"",Deceased,Killed by a duplicate of Pyat Pree,Qarth,Thirteen,Qartheen,"","","","","","","","","","",Copper King,"","","","","","","","","","","","","","",""
Sybelle Glover,"Sybelle Glover is the wife of Robett Glover and a member of House Glover. Following the Ironborn capture of Deepwood Motte, she and her children Gawen and Erena Glover are thrown into prison by the Ironborn. Due to King Robb Stark's failure to come to the aid of House Glover, Robett refuses to assist his half-brother Jon Snow and sister Sansa Stark's efforts to retake Winterfell from House Bolton, who had helped them drive out the Ironborn earlier.","","",6,"",Alive,"","",House Glover,Northmen,"","","","","",Robett Glover,"Gawen Glover, Erena Glover","","","",Sybelle Glover,"","","","","","","","","","","","","","",""
Shagga,"Shagga is a recurring character in the first season. He is played by guest star Mark Lewis Jones and debuts in ""The Pointy End."" Shagga is the leader of the Stone Crows and a fierce and independent warrior. He has formed an alliance with Tyrion Lannister.","Shagga, son of Dolf, is the leader of the Stone Crows, one of the hill tribes who live in the foothills of the Mountains of the Moon on the western border of the Vale of Arryn. He is a notable warrior who holds fealty to no lord.","",1,"",Alive,"","The Mountains of the Moon, Westeros",Stone Crows,Hill Tribes,"","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/3/37/Shagga.jpg/revision/latest?cb=20160719184842,Shagga,"","","","","","","","","","","","","","",""
Maegor III Targaryen,Maegor III Targaryen is an unseen character in Game of Thrones. He is long dead by the time of the series. He was a King of the Targaryen dynasty.,"","",5,King,Deceased,"","Red Keep, King's Landing",House Targaryen,Valyrian,"","","","","","","","","","",Maegor III Targaryen,"","","","","","","","","","","","","","",House Targaryen
Asher Forrester,Asher Forrester is the second-born son of Lord Gregor Forrester and Lady Elissa Forrester. He has been exiled across the Narrow Sea and has currently returned to Westeros. He is one of the main playable characters in Game of Thrones: A Telltale Games Series.,"Asher had always been a rebellious youth – brawling in taverns, sleeping with whores, and finding ways to raise his father’s ire. But his life took a dark turn when, at age seventeen, he fell in love with Gwyn Whitehill, the daughter of his father’s bitter rival. Bloodshed ensued and Lord Forrester faced a grim choice: go to war, or exile Asher across the Narrow Sea. He chose the latter. Asher remains in Essos to this day, living as a sellsword, trying not to think about the life he left.
When Asher heard his brother Ethan was tormented by a miller's boy, Asher grabbed him by the neck and beat half of the boy's teeth out. While his father was angry, he only cared about Ethan's safety.
At some point he met Beskha and the two of them became partners. Asher and Beskha traveled to Volantis during their adventures, were they soon became enemies with Tazal, a member of the Lost Legion.
During their time journeying, they made it to Lys, where he and Beskha fought the Scourge, a brawler who fought with double axes, and defeated him.","Asher is described by most of his family as aggressive, impulsive, passionate and charming. But despite his reputation, Asher is very good at thinking on his feet and is very resourceful. Asher's hot-headed temperament aside, his uncle Malcolm felt that Asher has always been meant to lead men in battle. He is also quite the ladies man and a very skilled warrior, as he (with Beskha's aid) defeated a large number of Lost Legion soldiers, using his sword, axe, and unarmed combat. Asher is also shown to be humorous and light-minded even in most intense and serious positions.
Asher also has a strong bond with Beskha, with her even referring to Asher as ""little brother"". Asher also became determined to return home once he learned of his father's and brother's murder, promising to kill Ramsay Snow.","","Lord of Ironrath (player-determined), Defender of the Ironwood Grove (player-determined)",Determinant,"Shot and stabbed by Whitehill , soldiers, then finished off by Harys.",Ironrath,House Forrester,Northmen,"",Rodrik Forrester (player-determined),"",Gregor Forrester,Elissa Forrester,"","","Rodrik Forrester , Mira Forrester , Ethan Forrester , Talia Forrester , Ryon ForresterBastard paternal half-siblings:, Josera Snow, Elsera Snow",Gwyn Whitehill (player-determined),http://vignette2.wikia.nocookie.net/gameofthrones/images/3/38/TID_Asher_Determined.png/revision/latest?cb=20151118005924,Asher Forrester,http://vignette2.wikia.nocookie.net/gameofthrones/images/e/ed/TLL_Malcolm_and_Asher.png,Asher reunites with his uncle Malcolm after 4 years.,http://vignette2.wikia.nocookie.net/gameofthrones/images/e/e5/Maxresdefault.jpg,Rodrik and Asher holding the gate at the docks.,"","","","","","","","","","",""
Inn waitress,"An inn waitress is an unnamed minor character in the fifth season. She is played by guest star Irene Kelleher and only appears in ""The House of Black and White"".",She is a waitress who works at an inn in the Vale of Arryn.,"",5,"",Alive,"",The Vale of Arryn,"","","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/a/a9/Inn_waitress.png/revision/latest?cb=20150421013818,Inn waitress,"","","","","","","","","","","","","","",""
Ternesio Terys,"Ternesio Terys is a recurring character in the fourth and fifth seasons. He is played by Gary Oliver and first appears in ""The Children"".","Ternesio Terys is the captain of the Titan's Daughter, a trading galleon from Braavos.","","4, 5","",Alive,"",Braavos,"",Braavosi,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/3/35/Ternesio_Terys_S5.jpg/revision/latest?cb=20150422203249,Ternesio Terys,"","","","","","","","","","","","","","",""
Fennesz,​Fennesz is a character introduced in the last episode of the fourth season. He is played by Trevor Allan Davies.,"Fennesz was a slave in the service of Master Mighdal, one of the Great Masters of Meereen, and charged with educating the children of the household. In his own opinion, he was well treated by his master and loved by the children he taught. He speaks several languages, including Valyrian and the Common Tongue, and knows the history of House Targaryen.","",4,"",Alive,"",Meereen,"",Ghiscari (Meereenese),"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/d/d8/Fennesz.jpg/revision/latest?cb=20140616091153,Fennesz,"","","","","","","","","","","","","","",""
Hugh Hammer,Ser Hugh Hammer is an unseen character. He is long dead by the time of the series. He was a dragon-rider for Rhaenyra Targaryen's faction during the Dance of the Dragons.,"","","","Ser, Lord of Bitterbridge",Deceased,"",Dragonstone,"House Targaryen, Blacks, Greens",Valyrian,Faith of the Seven,"","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/a/af/HL5_Vermithor_closeup.png/revision/latest?cb=20161113000814,Hugh Hammer,"","","","","","","","","","","","","","",House Targaryen
Torgold Tollett,Torgold Tollett is an unseen character in Game of Thrones. He was an Andal warrior during the Andal Invasion of Westeros.,"","","",Torgold the Grim,Deceased,"","",House Tollett,Andal,Faith of the Seven,"","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/f/f8/Torgold_Tollett.png/revision/latest?cb=20161121215844,Torgold Tollett,"","","","","","","","","","","","","","",""
Brandon Stark (son of Rickard),"Brandon Stark is an unseen character mentioned in the first and fourth seasons. He is deceased when the events of the series begin. Brandon Stark was the heir of Rickard Stark, the Lord of Winterfell, and the older brother of Eddard, Lyanna and Benjen Stark. He was killed by strangulation by the Mad King when he protested the kidnapping of Lyanna by Prince Rhaegar Targaryen. His father Rickard died along with him by wildfire.","Brandon Stark was the eldest son and heir of Lord Rickard Stark. Rickard was the head of House Stark and Lord Paramount of the North. The North is one of the constituent regions of the Seven Kingdoms and House Stark is one of the Great Houses of the realm. House Stark rule the region from their seat of Winterfell and Rickard also held the title Lord of Winterfell.
Brandon's father arranged for his betrothal to Catelyn Tully. Brandon defended Catelyn's honor in a duel with Petyr ""Littlefinger"" Baelish. He defeated Baelish easily, nearly disemboweling him in the process, but Catelyn begged Brandon to spare his life. The maesters were able to save Baelish and he eventually recovered, but he was left with a deep scar running from his stomach to his collarbone (under his clothes), a ""token"" from Brandon that Baelish would always carry with him.
During The Great Tourney at Harrenhal, he asked Ashara Dayne if she would dance with his bashful younger brother Eddard Stark.
Brandon was killed on the order of the Aerys Targaryen, along with his father, after they protested the kidnapping of Lyanna by Prince Rhaegar Targaryen. Lord Rickard was burned alive inside his armor with wildfire, while Brandon was tied to a strangulation device, with a sword mere inches from his hands and strangled himself by trying to reach the sword. This brutal act triggered Robert's Rebellion, the civil war that led to the removal of House Targaryen from the Iron Throne.","","1, 4, 5","",Deceased,"Strangled at the order of Aerys II Targaryen, 281 AL",Winterfell,House Stark,Northmen,Old Gods of the Forest,"","",Rickard Stark,"","","","Eddard Stark, Lyanna Stark, Benjen Stark,","",http://vignette2.wikia.nocookie.net/gameofthrones/images/e/e4/Brandon_Stark.png/revision/latest?cb=20140220134326,Brandon Stark (son of Rickard),http://vignette4.wikia.nocookie.net/gameofthrones/images/8/82/Rickard_arrest.png,Rickard and Brandon are arrested by Targaryen guards.,http://vignette2.wikia.nocookie.net/gameofthrones/images/b/bb/Petyr_vs_Brandon.png,Brandon spares Petyr Baelish's life at Catelyn Tully's urging.,http://vignette4.wikia.nocookie.net/gameofthrones/images/5/5c/Aerys_Rickard_Brandon.png,Brandon strangles himself trying to save his father.,http://vignette3.wikia.nocookie.net/gameofthrones/images/a/a3/Brandon%27s_execution.jpg,King Aerys II Targaryen watches as Brandon Stark strangles himself.,"","","","","","",House Stark
Lead Kingsguard,"A Lead Kingsguard is a minor character in the fifth season who first appears in the episode ""Sons of the Harpy"". He is portrayed by Paddy Wallace.","","",5,"",Alive,"","",Kingsguard,"","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/3/38/Lead_Kingsguard1.png/revision/latest?cb=20150703231149,Lead Kingsguard,"","","","","","","","","","","","","","",""
Night's Watch archer,"A Night's Watch archer is a minor character in the fourth season. He is a member of the Night's Watch and appears in the episode ""The Watchers on the Wall"". He is played by Neil Marshall, the director of this episode. ","","",4,"",Uncertain,"","",Night's Watch,"","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/7c/Archer_4x09.PNG/revision/latest?cb=20160719063250,Night's Watch archer,"","","","","","","","","","","","","","",""
Lann,"Lann, known as Lann the Clever, was a legendary trickster of the Age of Heroes. House Lannister boasts descent from him through the female line.
According to legend, Lann the Clever swindled Casterly Rock from its previous rulers, House Casterly, using nothing but his wits.","","","","",Deceased,"","","",First Men,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/a/ad/Lann.png/revision/latest?cb=20140308020719,Lann,http://vignette3.wikia.nocookie.net/gameofthrones/images/3/39/LannTheClever.png,Lann tricks House Casterly out of Casterly Rock,"","","","","","","","","","","","",""
Stygg,"Stygg is a background character in the second season. He is played by an unidentified extra and debuts in ""Valar Morghulis"". Stygg is an ironborn raider and member of the Sea Bitch crew. He takes part in the seizing of Winterfell during the War of the Five Kings.","","",2,"",Deceased,Flayed alive by Ramsay Snow,The Iron Islands,House Greyjoy,Ironborn,Drowned God,"","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/3/31/Stygg_2x10.jpg/revision/latest?cb=20160720031919,Stygg,"","","","","","","","","","","","","","",House Greyjoy
Raymun Redbeard,"Raymun Redbeard is an unseen character in Game of Thrones. He was a King-Beyond-the-Wall of the Free Folk, living roughly a hundred years before the start of the series.","","","",King-Beyond-the-Wall,Deceased,Slain in the Battle at Long Lake,Beyond the Wall,Free Folk,Free Folk,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b3/Raymun_redbeard.jpg/revision/latest?cb=20130301203202,Raymun Redbeard,http://vignette4.wikia.nocookie.net/gameofthrones/images/7/74/Raymun_Redbeard_and_army_climb_the_Wall.png,Raymun Redbeard's wildling army climbed over the Wall to bypass the dwindling Night's Watch garrisons.,"","","","","","","","","","","","",""
Renly Baratheon,"King Renly I Baratheon is a recurring character in the first and second seasons. He is played by guest star Gethin Anthony and debuts in ""Lord Snow.""
Born to Steffon and Cassana Baratheon, Renly is the youngest of three brothers and thus fourth in line to inherit the throne after Joffrey, Tommen, and Stannis. He was granted the title of Lord Paramount of the Stormlands by his brother Robert, whose small council he also served on as Master of Laws, but abandoned the latter position when laying claim to the Iron Throne, styling himself as Renly of the House Baratheon, First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm. Margaery Tyrell became Renly's queen when she married him in an alliance; however, it was her brother Loras whom he truly loved. During talks of an alliance with the Starks, his reign abruptly ended when a Shadow with the face of Stannis Baratheon assassinated Renly inside his tent. This led most of his bannermen from the Stormlands and some of the Reach to submit to his older brother Stannis as their new king.","Renly is the third and youngest son of Steffon and Cassana Baratheon. Steffon was the head of House Baratheon and Lord Paramount of the Stormlands. The Stormlands are one of the constituent regions of the Seven Kingdoms and House Baratheon is one of the Great Houses of the realm. Renly has two older brothers Robert and Stannis. Their parents died when the boys were young and Robert inherited his father's titles. Robert led a rebellion against King Aerys II Targaryen, deposing and replacing him as the King on the Iron Throne. He made Renly the Lord of Storm's End following his victory. Renly was only a child during the civil war, so he did not fight.
Renly serves Robert as Master of Laws on the King's small council in King's Landing. He is fourth in line to the throne, behind his nephews Joffrey and Tommen and his older brother Stannis. Renly is popular at court because of his friendly manner and keen fashion sense.
Renly has been involved in a homosexual romance with Ser Loras Tyrell for many years. They must keep their love a secret because the dominant religion of the realm, the Faith of the Seven, considers homosexuality to be a sin, although many people are nonetheless aware of their relationship as something of an open secret.","Renly was established to have an extremely strained relationship with his two brothers, Robert and Stannis. The long-ridiculed youngest brother, originally Renly saw no hope of ever becoming king as there were too many heirs with claims better than his for the Iron Throne. With inspiration from his lover Loras Tyrell, however, Renly arrogantly flouted the line of succession and declared himself king ahead of Stannis after Robert died. However, his strained relationship with his brothers didn't prevent him from complimenting Robert behind his back that he used to be good at killing and showing concern when he was mortally wounded by the boar. Renly also claimed to have once loved Stannis after their final encounter, making him the only brother to say as much about one of the others whereas Robert openly stated he never loved either of them. Stannis pretty much says the same about Robert but claims to grieve for Renly in a way after he murders him. However, Stannis does not show genuine remorse for the act until after he is defeated at the Battle of the Blackwater.
Unlike his other brothers, who undoubtedly would make bad kings but were skilled in battle; Robert, a fierce warrior but incompetent king, and Stannis a proven battle commander but unmerciful lord, Renly never raised a sword in combat. Adding to this, he used to become uneasy around violence and blood, throwing up when a knight was maimed after jousting and even after Loras cut him to prove a point, Renly was still squeamish and treated it as if it was a mortal wound. According to him, all he heard about from Robert was how he was never ""tough"" enough, and came to resent the idea that good soldiers automatically make good kings, which was seen when Ned Stark attempted to reinforce Stannis as the rightful heir. He disregarded the fact that a king, while having to be charismatic and peaceful, also had to be legitimately strong, which his brothers were on account of being respectively skilled warriors and commanders.
Despite his lacklustre on the battlefield, Renly was skilled in politics. He became a member of Robert's small council while he was alive and forged a marriage alliance with House Tyrell to support his claim for the Throne, gaining more bannermen and strengthening his army by marrying Margaery Tyrell. At the same time however, the prospect of a marriage alliance was to create a line of children, which he was was unable to do on account of his homosexuality until Margaery reformed that their marriage was only on paper. Renly was patient; for all of his zeal to obtain the title of king he was capable of waiting until Robb Stark had weakened the forces in King's Landing and take control later on. He also had some understanding of warfare tactics and planned to take Joffrey hostage after learning of his true parentage to weaken House Lannister so there would be no opposition for his titles.
For all of his ambitions, Renly only attempted to assist his own claim and never neutralised those against him. He relied on Joffrey's illegitimacy, made aware by Stannis who also fought for the Iron Throne to support his right and never attempted to demoralize Stannis to his army even though, in the eyes of the Seven Kingdoms, Stannis possessed the most solid claim in comparison to Renly. He relied on his charisma and popularity for the support of his troops rather than propaganda, and disregarded the royal line of succession in favor of the rightful ruler being the best suited, which was automatically him in his opinion. Renly was also a tolerant man, as he allowed Brienne of Tarth to join his Kingsguard, whereas many scorned her for her gender and lack of virtue.","1, 2","King of the Andals and the First Men (claimant), Lord of the Seven Kingdoms (claimant), Protector of the Realm (claimant), Lord of Storm's End, Lord Paramount of the Stormlands, Master of Laws (formerly; to Robert I)",Deceased,Assassinated by a shadow birthed by Melisandre and fathered by Stannis Baratheon,Storm's End,House Baratheon,Andals,Faith of the Seven,Robert Baratheon,Stannis Baratheon,Steffon Baratheon,Cassana Baratheon,Margaery Tyrell,"","Robert Baratheon, Stannis Baratheon",Loras Tyrell,http://vignette3.wikia.nocookie.net/gameofthrones/images/3/3d/Renly_profile.jpg/revision/latest?cb=20130116113034,Renly Baratheon,http://vignette3.wikia.nocookie.net/gameofthrones/images/d/d0/Renly_Baratheon.jpg,Lord Renly Baratheon at the Hand's tourney in King's Landing.,http://vignette3.wikia.nocookie.net/gameofthrones/images/4/46/Robert%27s_hunting_party.jpg,"Robert's hunting party in ""A Golden Crown"", consisting of Ser Barristan Selmy, Lancel Lannister as squire, and Renly.",http://vignette2.wikia.nocookie.net/gameofthrones/images/e/e8/Renly_promo.jpg,Renly crowned himself King despite his older brother Stannis being ahead in the line of succession.,http://vignette3.wikia.nocookie.net/gameofthrones/images/d/d5/House-Baratheon-of-Storm%27s-End-Square.PNG/revision/latest/scale-to-width-down/180?cb=20160731224333,The sigil adopted by King Renly I in the War of the Five Kings mirrored the alliance of House Baratheon of Storm's End with House Tyrell of Highgarden.,http://vignette1.wikia.nocookie.net/gameofthrones/images/9/9d/Margaery_and_Renly.jpg,Renly with Margaery Tyrell in a second season trailer.,http://vignette1.wikia.nocookie.net/gameofthrones/images/3/39/203_Renly_Loras_kissing.jpg,Renly and Loras in his tent.,http://vignette3.wikia.nocookie.net/gameofthrones/images/6/63/Renly_Stannis_Parley.jpg,Renly and Stannis parley.,House Baratheon
Nelugo,"Nelugo is an unidentified background character in the first season. He is a newly made Ranger of the Night's Watch, of the same group of recruits as Jon Snow.","","",1,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Nelugo,"","","","","","","","","","","","","","",""
Male prostitute,"A male prostitute is an unnamed recurring character in the second season. He is played by guest star Dennis Stokes and debuts in ""The North Remembers."" He works for Petyr Baelish in King's Landing.","","",2,"",Alive,"","",Lord Petyr Baelish,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/7/71/MaleprostituteS02EP01.jpg/revision/latest?cb=20160711030449,Male prostitute,"","","","","","","","","","","","","","",""
Brothel child 2,A Brothel child is a character in Season 5.,She is a child who serves in a brothel in Braavos.,"",5,"",Alive,"",Braavos,"",Braavosi,"","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/2/2f/5x10_Brothel_child_2.jpg/revision/latest?cb=20160812080949,Brothel child 2,"","","","","","","","","","","","","","",""
Maelys Blackfyre,"Maelys Blackfyre, better known as Maelys the Monstrous, is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.
He was called ""the Monstrous"" in part due to his freakishly large size and strength, but also due to the fact that he had a small vestigial second head sprouting out of the side of his neck - the remnant of a twin that he had absorbed in the womb.","Maelys Blackfyre was the last of the Blackfyre Pretenders to the Iron Throne. Like previous members of House Blackfyre, he proclaimed himself the rightful king as a descendant of Daemon Blackfyre, bastard son of King Aegon IV Targaryen, while the main Targaryen line descended from Aegon IV's lawful son King Daeron II Targaryen. Maelys rallied an army of mercenaries in the Free Cities and began a conquest of the Stepstones as a prelude to invading Westeros itself. The Targaryens attacked the Stepstones before he could launch the invasion, leading to the War of the Ninepenny Kings. This conflict ended when Maelys was killed in the Stepstones by the young Ser Barristan Selmy, extinguishing Daemon Blackfyre's line and ending further threat of Blackfyre pretenders.","","","King of the Andals and the First Men (claimant), Lord of the Seven Kingdoms (claimant), Protector of the Realm (claimant)",Deceased,Run through by Barristan Selmy on the Stepstones,Essos,House Blackfyre,"","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/a/a0/Maelys_the_Monstrous.png/revision/latest?cb=20161115182545,Maelys Blackfyre,http://vignette1.wikia.nocookie.net/gameofthrones/images/f/f0/War_Of_the_Ninepenny_Kings.png,"Barristan Selmy kills Maelys Blackfyre, at the end of the War of the Ninepenny Kings.",http://vignette4.wikia.nocookie.net/gameofthrones/images/4/40/Maelys_the_Monstrous_Second_Head_RR_Barristan.png,"Maelys the Monstrous had a vestigial second head growing out of his neck, the remnant of a twin he absorbed in the womb.","","","","","","","","","","",""
Mole's Town madam,A Mole's Town madam is an unnamed minor character in the fourth season. She is played by guest star Lu Corfield.,She runs the brothel in Mole's Town.,"",4,"",Uncertain,"","","",Northmen,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/1/11/Mole%27s_Town_madam.png/revision/latest?cb=20160730031221,Mole's Town madam,"","","","","","","","","","","","","","",""
Unella,Septa Unella is a recurring character in the fifth and sixth seasons. She is played by Hannah Waddingham.,Unella is a Septa of the Faith of the Seven and a devoted follower of the High Sparrow. ,"","5, 6","",Alive,"","","Faith of  Seven, Most Devout","",Faith of the Seven,"","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/1/1a/S06E06_-_Septa_Unella_Cropped.jpg/revision/latest?cb=20160808031434,Unella,http://vignette4.wikia.nocookie.net/gameofthrones/images/b/b6/TheGiftUnellaCersei.jpg,Septa Unella seizes Cersei.,http://vignette1.wikia.nocookie.net/gameofthrones/images/3/35/Olenna_Tyrell_and_Margaery_Tyrell_after_Margary%27s_release_from_the_Faith_Millitant./revision/latest/scale-to-width-down/180?cb=20160606185318,Margaery visits Olenna under Unella's supervision.,http://vignette4.wikia.nocookie.net/gameofthrones/images/2/20/Unella_captured_by_Cersei_s6.jpg,Unella captured and bound by Cersei.,"","","","","","","","",""
Mace Tyrell,"Lord Mace Tyrell is a recurring character in the fourth, fifth and sixth seasons. He is played by guest star Roger Ashton-Griffiths and debuts in ""The Lion and the Rose"".
Lord Mace Tyrell is the Lord of Highgarden and head of House Tyrell. He is the father of Loras and Margaery Tyrell, and the son of Olenna Tyrell. He initially supported Renly Baratheon's claim to the Iron Throne in the War of the Five Kings, but after Renly's death he successfully negotiated an alliance with House Lannister to support King Joffrey's claim to the throne, on the condition that his daughter Margaery would marry Joffrey, making her the new queen and giving House Tyrell the prestige of entering into the royal bloodline. He was appointed both Master of Ships and Master of Coin on King Tommen's small council.","Mace Tyrell is the Lord of Highgarden and head of House Tyrell, one of the Great Houses of Westeros. He is the Lord Paramount of the Reach and Warden of the South. The Tyrells are one of the richest and most powerful families in Westeros, second only to the Lannisters - for while the mountains of the Westerlands possess rich gold mines, the fields of the Reach are the most fertile in Westeros, capable of supporting armies almost twice the size of any other kingdom.
Mace is not considered a great strategist or general himself - his own mother Olenna openly describes him as an oaf. On the other hand, he has shown good judgment in delegating such tasks to trusted, skilled subordinates, such as the famous general Randyll Tarly, who often commands Mace's forces in battle.
Mace might not be the most intelligent man, but he is an amiable fellow well-liked by most of his bannermen, as well a loving husband and father. Mace has one son, Loras, and a daughter, Margaery, arguably the most eligible woman in the Seven Kingdoms. Mace hopes to make a good match for her to increase the already considerable power and influence of his family. Mace is particularly eager for Margaery to secure a royal marriage for their family because unlike some of the other Great Houses of the Seven Kingdoms such as the Starks or Lannisters, the Tyrells never ruled as kings in their own right, but were granted control of the Reach as a reward for submitting to Aegon the Conqueror during the Targaryen Conquest three hundred years ago. Thus entering into the royal bloodline would increase House Tyrell's prestige and secure their rule over their fractious vassals in the Reach.
During Robert's Rebellion, Mace and House Tyrell stayed loyal to House Targaryen. The Tyrells owed their rule over Highgarden and the Reach to the Targaryen kings, who after the Targaryen Conquest three centuries before had awarded rule of the Reach to the Tyrells ahead of other families from the region which actually had better claims (such as House Florent). The Tyrell armies were able to inflict the only defeat that Robert Baratheon suffered during the entire war at the Battle of Ashford. Afterwards, Mace's massive army moved east to lay siege to the mighty castle-seat of the Baratheons, Storm's End. The Siege of Storm's End lasted the better part of a year, while Mace and his commanders feasted in sight of the starving garrison led by Robert's younger brother Stannis. Ultimately Stannis's determined defense held, and the siege only succeeded in pinning down Mace's army and preventing it from assisting the Targaryens in the climactic battles occurring further north. After the Sack of King's Landing, Eddard Stark rode south with the main rebel army to relieve the siege. With the capital city in rebel hands, and both Prince Rhaegar Targaryen and his father Mad King Aerys dead, Mace saw that the war was clearly lost and gave no battle to Lord Eddard. Instead he peacefully dipped his banners and submitted to Robert's rule, and in return was treated leniently, pardoned, and allowed to continue ruling the Reach as his family had before the war. However, ever since there was never any great love between Mace Tyrell and Stannis Baratheon.","","4, 5, 6","Lord of Highgarden, Lord Paramount of the Reach, Warden of the South, Master of Ships (to Joffrey I and, Tommen I), Master of Coin (to Tommen I), Hand of the King (formerly; claimant; to Renly I)",Deceased,Burned alive in a wildfire explosion orchestrated by Cersei Lannister,Highgarden,House Tyrell,Andal,"","Luthor Tyrell (Lord Paramount of the Reach), Stannis Baratheon (Master of Ships), Tyrion Lannister (Master of Coin)","",Luthor Tyrell,Olenna Tyrell,Alerie Tyrell,"Loras Tyrell, Margaery Tyrell","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/e/e2/MaceTyrell-Profile.PNG/revision/latest?cb=20160719041706,Mace Tyrell,http://vignette3.wikia.nocookie.net/gameofthrones/images/e/ed/Margaery_wedding_dress_Great_Sept.jpg,Mace at his daughter's wedding.,http://vignette1.wikia.nocookie.net/gameofthrones/images/b/b5/Thelawsofgodsandmen3.jpg,Mace as a judge at Tyrion's trial.,http://vignette3.wikia.nocookie.net/gameofthrones/images/b/b4/504_Mace_at_Small_Council_dark_green_costume.jpg,Mace Tyrell leaving King's Landing for Braavos.,http://vignette3.wikia.nocookie.net/gameofthrones/images/b/b3/Oathbreaker_22.jpg,Mace at a small council meeting.,"","","","","","",House Tyrell
Night's Watch Officer 2,"An unidentified Night's Watch officer is a recurring background character in the first, second, and third seasons. He is portrayed by Dennis McKeever.","","","1, 2, 3","",Deceased,Died during the Mutiny at Craster's Keep,"",Night's Watch,"","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/d/dd/NightsWatchOfficerSeason3.jpg/revision/latest?cb=20140423000152,Night's Watch Officer 2,"","","","","","","","","","","","","","",""
Tobho Mott,"Tobho Mott is a recurring character in the first and second seasons. He is played by guest star Andrew Wilde and debuts in ""Cripples, Bastards and Broken Things"". Tobho Mott is a master armorer and blacksmith in King's Landing. His apprentice Gendry is a bastard son of Robert Baratheon. Tobho is tortured by the City Watch to reveal that Gendry fled the city in the wake of Robert's death.","Tobho Mott is a master armorer and blacksmith living in the city of King's Landing. Despite being a foreigner from the Free City of Qohor, he is well-regarded for the quality of his work and has received the patronage of many knights and even some lords. Mott is assisted by his apprentice smith, a young man named Gendry.","","1, 2","",Alive,"",Qohor,"",Qohorik,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/4/46/Tobho_Mott.jpg/revision/latest?cb=20130126223820,Tobho Mott,"","","","","","","","","","","","","","",""
